Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Average Distance of Shot,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
Ezri Konsa,ENG,DF,Aston Villa,23,1997,12.5,2,8,4,50,0.64,0.32,0.25,0.5,9.6,0,0,0,0.6,0.6,0.08,1.4,1.4,2020/2021
Cheikhou Kouyaté,SEN,DF,Crystal Palace,31,1989,16.7,1,7,2,28.6,0.42,0.12,0.14,0.5,9.6,0,0,0,0.8,0.8,0.11,0.2,0.2,2020/2021
Mateo Kovačić,CRO,MF,Chelsea,26,1994,7.2,0,9,1,11.1,1.24,0.14,0,0,24.4,0,0,0,0.3,0.3,0.03,-0.3,-0.3,2020/2021
Filip Krovinović,CRO,MF,West Brom,25,1995,6.1,0,8,2,25,1.32,0.33,0,0,24.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,2020/2021
Alexandre Lacazette,FRA,FW,Arsenal,29,1991,9.6,7,23,15,65.2,2.4,1.56,0.26,0.4,11.7,1,1,1,5,4.2,0.19,2,1.8,2020/2021
Érik Lamela,ARG,FW,Tottenham,28,1992,2.2,0,8,3,37.5,3.65,1.37,0,0,17.7,3,0,0,0.7,0.7,0.08,-0.7,-0.7,2020/2021
Tariq Lamptey,ENG,DF,Brighton,20,2000,9.8,1,6,2,33.3,0.61,0.2,0.17,0.5,12.1,0,0,0,0.6,0.6,0.09,0.4,0.4,2020/2021
Manuel Lanzini,ARG,MFFW,West Ham,27,1993,2.6,1,6,2,33.3,2.32,0.77,0.17,0.5,17,0,0,0,0.5,0.5,0.08,0.5,0.5,2020/2021
Jamal Lewis,NIR,DF,Newcastle Utd,22,1998,11.3,0,1,1,100,0.09,0.09,0,0,25.5,0,0,0,0,0,0.03,0,0,2020/2021
Victor Lindelöf,SWE,DF,Manchester Utd,26,1994,12.7,1,4,1,25,0.31,0.08,0.25,1,5.9,0,0,0,0.6,0.6,0.16,0.4,0.4,2020/2021
Giovani Lo Celso,ARG,MFFW,Tottenham,24,1996,4.9,1,9,5,55.6,1.85,1.03,0.11,0.2,16.4,1,0,0,0.8,0.8,0.09,0.2,0.2,2020/2021
Ruben Loftus-Cheek,ENG,FWMF,Fulham,24,1996,6.7,1,7,3,42.9,1.04,0.45,0.14,0.33,17.1,0,0,0,0.6,0.6,0.09,0.4,0.4,2020/2021
Shane Long,IRL,FWMF,Southampton,33,1987,2.1,0,2,1,50,0.94,0.47,0,0,19.1,0,0,0,0,0,0.02,0,0,2020/2021
Sean Longstaff,ENG,MF,Newcastle Utd,23,1997,8.2,0,8,4,50,0.98,0.49,0,0,21.1,1,0,0,0.6,0.6,0.07,-0.6,-0.6,2020/2021
Ademola Lookman,ENG,FW,Fulham,23,1997,11.2,2,28,13,46.4,2.5,1.16,0.07,0.15,16.9,2,0,1,2.9,2.2,0.08,-0.9,-0.2,2020/2021
Max Lowe,ENG,DF,Sheffield Utd,23,1997,4.6,0,2,1,50,0.44,0.22,0,0,23,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2020/2021
Matthew Lowton,ENG,DF,Burnley,31,1989,11,0,4,1,25,0.36,0.09,0,0,25.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,2020/2021
Douglas Luiz,BRA,MF,Aston Villa,22,1998,13.6,0,11,4,36.4,0.81,0.29,0,0,23.2,0,0,0,0.4,0.4,0.03,-0.4,-0.4,2020/2021
John Lundstram,ENG,MF,Sheffield Utd,26,1994,8.5,0,10,4,40,1.17,0.47,0,0,25.4,1,0,1,1.6,0.9,0.09,-1.6,-0.9,2020/2021
Alexis Mac Allister,ARG,FWMF,Brighton,22,1998,1.5,1,4,1,25,2.75,0.69,0.25,1,22.3,0,0,0,0.2,0.2,0.04,0.8,0.8,2020/2021
James Maddison,ENG,MFFW,Leicester City,24,1996,10.7,4,29,8,27.6,2.71,0.75,0.14,0.5,25.3,5,0,0,1.5,1.5,0.05,2.5,2.5,2020/2021
Harry Maguire,ENG,DF,Manchester Utd,27,1993,16,1,20,5,25,1.25,0.31,0.05,0.2,12.3,0,0,0,1.2,1.2,0.06,-0.2,-0.2,2020/2021
Riyad Mahrez,ALG,FWDF,Manchester City,29,1991,8.6,4,25,11,44,2.92,1.29,0.16,0.36,15.6,1,0,0,2.3,2.3,0.09,1.7,1.7,2020/2021
Sadio Mané,SEN,FW,Liverpool,28,1992,14.8,6,48,20,41.7,3.25,1.35,0.13,0.3,13.5,0,0,0,7.6,7.6,0.16,-1.6,-1.6,2020/2021
Solly March,ENG,DF,Brighton,26,1994,14.6,2,17,4,23.5,1.17,0.27,0.12,0.5,17.9,1,0,0,1.2,1.2,0.07,0.8,0.8,2020/2021
Anthony Martial,FRA,FW,Manchester Utd,25,1995,9.2,2,24,11,45.8,2.62,1.2,0.08,0.18,15.4,0,0,0,3.1,3.1,0.13,-1.1,-1.1,2020/2021
Martinelli,BRA,FW,Arsenal,19,2001,1.7,0,6,2,33.3,3.48,1.16,0,0,13.4,0,0,0,0.6,0.6,0.11,-0.6,-0.6,2020/2021
Arthur Masuaku,COD,DF,West Ham,27,1993,9.4,0,6,2,33.3,0.64,0.21,0,0,21.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,2020/2021
Juan Mata,ESP,FW,Manchester Utd,32,1988,3.7,0,4,3,75,1.07,0.81,0,0,17.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3,2020/2021
Nemanja Matić,SRB,MF,Manchester Utd,32,1988,6.1,0,3,2,66.7,0.49,0.33,0,0,24.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2020/2021
Joël Matip,CMR,DF,Liverpool,29,1991,6.2,1,5,2,40,0.81,0.32,0.2,0.5,6.8,0,0,0,0.6,0.6,0.13,0.4,0.4,2020/2021
Neal Maupay,FRA,FWMF,Brighton,24,1996,12.4,6,32,12,37.5,2.57,0.97,0.09,0.25,16.3,0,3,4,7.4,4.3,0.14,-1.4,-1.3,2020/2021
Oliver McBurnie,SCO,FW,Sheffield Utd,24,1996,9.2,1,24,10,41.7,2.62,1.09,0.04,0.1,11.2,0,0,0,2.7,2.7,0.11,-1.7,-1.7,2020/2021
John McGinn,SCO,MF,Aston Villa,26,1994,15,1,18,3,16.7,1.2,0.2,0.06,0.33,21,0,0,0,0.9,0.9,0.05,0.1,0.1,2020/2021
David McGoldrick,IRL,FWMF,Sheffield Utd,33,1987,10.3,4,22,9,40.9,2.14,0.88,0.18,0.44,18,0,0,0,2.6,2.6,0.12,1.4,1.4,2020/2021
Scott McTominay,SCO,MF,Manchester Utd,24,1996,10.2,2,9,2,22.2,0.88,0.2,0.22,1,17.5,0,0,0,0.9,0.9,0.09,1.1,1.1,2020/2021
Ben Mee,ENG,DF,Burnley,31,1989,9,1,7,3,42.9,0.78,0.33,0.14,0.33,11.5,0,0,0,0.6,0.6,0.09,0.4,0.4,2020/2021
Benjamin Mendy,FRA,DF,Manchester City,26,1994,5.6,1,3,1,33.3,0.54,0.18,0.33,1,19.1,0,0,0,0.1,0.1,0.04,0.9,0.9,2020/2021
Luka Milivojević,SRB,MF,Crystal Palace,29,1991,9.1,0,10,3,30,1.1,0.33,0,0,27.4,4,0,0,0.5,0.5,0.05,-0.5,-0.5,2020/2021
James Milner,ENG,MFDF,Liverpool,35,1986,3.9,0,3,1,33.3,0.78,0.26,0,0,22.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,2020/2021
Yerry Mina,COL,DF,Everton,26,1994,14,2,9,4,44.4,0.64,0.29,0.22,0.5,11.9,0,0,0,0.5,0.5,0.06,1.5,1.5,2020/2021
Takumi Minamino,JPN,MFFW,Liverpool,25,1995,3.2,1,6,3,50,1.89,0.94,0.17,0.33,16.1,0,0,0,0.6,0.6,0.1,0.4,0.4,2020/2021
Tyrone Mings,ENG,DF,Aston Villa,27,1993,13.5,2,10,5,50,0.74,0.37,0.2,0.4,8.7,0,0,0,1,1,0.1,1,1,2020/2021
Tyrick Mitchell,ENG,DF,Crystal Palace,21,1999,8,0,1,1,100,0.12,0.12,0,0,12.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1,2020/2021
Aleksandar Mitrović,SRB,FW,Fulham,26,1994,8.8,2,33,8,24.2,3.75,0.91,0.03,0.13,14.3,1,1,2,4.3,2.8,0.09,-2.3,-1.8,2020/2021
Mason Mount,ENG,MFFW,Chelsea,22,1999,15,1,31,9,29,2.07,0.6,0.03,0.11,21.8,4,0,0,1.6,1.6,0.05,-0.6,-0.6,2020/2021
Lucas Moura,BRA,FWMF,Tottenham,28,1992,5.1,1,5,3,60,0.97,0.58,0.2,0.33,10.9,0,0,0,0.8,0.8,0.17,0.2,0.2,2020/2021
Lys Mousset,FRA,FW,Sheffield Utd,24,1996,2.3,0,3,2,66.7,1.33,0.89,0,0,17.2,0,0,0,0.6,0.6,0.21,-0.6,-0.6,2020/2021
João Moutinho,POR,MF,Wolves,34,1986,11.9,0,5,1,20,0.42,0.08,0,0,23.4,1,0,0,0.2,0.2,0.04,-0.2,-0.2,2020/2021
Jacob Murphy,ENG,DFFW,Newcastle Utd,25,1995,7.2,1,11,4,36.4,1.53,0.55,0.09,0.25,25.1,3,0,0,0.3,0.3,0.03,0.7,0.7,2020/2021
Marvelous Nakamba,ZIM,MF,Aston Villa,26,1994,1.2,0,1,1,100,0.85,0.85,0,0,27,0,0,0,0,0,0.03,0,0,2020/2021
Tanguy Ndombele,FRA,MF,Tottenham,24,1996,8.9,2,9,5,55.6,1.01,0.56,0.22,0.4,15.6,0,0,0,1,1,0.11,1,1,2020/2021
Pedro Neto,POR,FWMF,Wolves,20,2000,15,4,32,12,37.5,2.13,0.8,0.13,0.33,19.2,0,0,0,2.3,2.3,0.07,1.7,1.7,2020/2021
Rúben Neves,POR,MF,Wolves,23,1997,12.8,1,28,7,25,2.19,0.55,0,0,26,4,1,1,1.8,1.1,0.04,-0.8,-1.1,2020/2021
Eddie Nketiah,ENG,FW,Arsenal,21,1999,3.5,1,6,4,66.7,1.71,1.14,0.17,0.25,14,0,0,0,1.1,1.1,0.19,-0.1,-0.1,2020/2021
Denis Odoi,BEL,DF,Fulham,32,1988,3,0,2,1,50,0.67,0.33,0,0,23.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2020/2021
Angelo Ogbonna,ITA,DF,West Ham,32,1988,16.7,2,7,3,42.9,0.42,0.18,0.29,0.67,8.5,0,0,0,0.7,0.7,0.1,1.3,1.3,2020/2021
Ben Osborn,ENG,MFDF,Sheffield Utd,26,1994,7.5,0,2,1,50,0.27,0.13,0,0,15.1,0,0,0,0.2,0.2,0.12,-0.2,-0.2,2020/2021
Thomas Partey,GHA,MF,Arsenal,27,1993,3.1,0,5,2,40,1.62,0.65,0,0,22.4,0,0,0,0.5,0.5,0.1,-0.5,-0.5,2020/2021
Nicolas Pépé,CIV,FWMF,Arsenal,25,1995,5.1,2,12,4,33.3,2.37,0.79,0.08,0.25,19.8,1,1,1,1.7,0.9,0.08,0.3,0.1,2020/2021
Matheus Pereira,BRA,MFFW,West Brom,24,1996,10.2,1,17,5,29.4,1.66,0.49,0.06,0.2,21.2,4,0,0,0.8,0.8,0.05,0.2,0.2,2020/2021
Ayoze Pérez,ESP,MFFW,Leicester City,27,1993,6,1,15,4,26.7,2.51,0.67,0.07,0.25,16.7,1,0,0,1.7,1.7,0.11,-0.7,-0.7,2020/2021
Kalvin Phillips,ENG,MF,Leeds United,25,1995,13.5,0,8,3,37.5,0.59,0.22,0,0,24.5,1,0,0,0.2,0.2,0.03,-0.2,-0.2,2020/2021
Matt Phillips,SCO,MFDF,West Brom,29,1991,7.2,0,7,4,57.1,0.97,0.56,0,0,25.6,1,0,0,0.3,0.3,0.05,-0.3,-0.3,2020/2021
Erik Pieters,NED,DFMF,Burnley,32,1988,4,0,2,1,50,0.5,0.25,0,0,10.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,2020/2021
Daniel Podence,POR,FWMF,Wolves,25,1995,12.4,3,25,13,52,2.01,1.05,0.12,0.23,16.2,0,0,0,2.6,2.6,0.1,0.4,0.4,2020/2021
Paul Pogba,FRA,MFFW,Manchester Utd,27,1993,9.6,1,12,5,41.7,1.25,0.52,0.08,0.2,17.3,0,0,0,0.8,0.8,0.06,0.2,0.2,2020/2021
Dennis Praet,BEL,MFFW,Leicester City,26,1994,7.3,1,8,2,25,1.1,0.28,0.13,0.5,16.1,0,0,0,0.5,0.5,0.07,0.5,0.5,2020/2021
Davy Pröpper,NED,MF,Brighton,29,1991,1.2,0,3,1,33.3,2.41,0.8,0,0,14.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2020/2021
Christian Pulisic,USA,FWMF,Chelsea,22,1998,7.7,1,18,5,27.8,2.33,0.65,0.06,0.2,15.4,0,0,0,2.2,2.2,0.12,-1.2,-1.2,2020/2021
Marcus Rashford,ENG,FW,Manchester Utd,23,1997,15.1,7,43,20,46.5,2.84,1.32,0.16,0.35,17.2,1,0,0,6.2,6.2,0.14,0.8,0.8,2020/2021
Nathan Redmond,ENG,MF,Southampton,26,1994,4.5,1,11,3,27.3,2.46,0.67,0.09,0.33,16,0,0,0,1.1,1.1,0.1,-0.1,-0.1,2020/2021
Harrison Reed,ENG,MF,Fulham,25,1995,7.9,0,4,1,25,0.5,0.13,0,0,28.4,0,0,0,0.1,0.1,0.01,-0.1,-0.1,2020/2021
Sergio Reguilón,ESP,DF,Tottenham,24,1996,9.8,0,10,3,30,1.02,0.31,0,0,21.6,0,0,0,0.4,0.4,0.04,-0.4,-0.4,2020/2021
Bobby Reid,JAM,DFFW,Fulham,27,1993,10.3,4,14,6,42.9,1.35,0.58,0.29,0.67,17.1,0,0,0,2.5,2.5,0.18,1.5,1.5,2020/2021
Declan Rice,ENG,MF,West Ham,21,1999,17,0,9,1,11.1,0.53,0.06,0,0,19.1,0,0,0,0.6,0.6,0.06,-0.6,-0.6,2020/2021
Richarlison,BRA,FW,Everton,23,1997,11.1,2,31,13,41.9,2.8,1.18,0.03,0.08,15.5,0,1,1,4.1,3.3,0.11,-2.1,-2.3,2020/2021
Jaïro Riedewald,NED,MF,Crystal Palace,24,1996,6.7,1,3,1,33.3,0.45,0.15,0.33,1,15,0,0,0,0.5,0.5,0.17,0.5,0.5,2020/2021
Matt Ritchie,SCO,DFMF,Newcastle Utd,31,1989,5.7,0,4,1,25,0.7,0.18,0,0,23.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,2020/2021
Tyler Roberts,WAL,MFFW,Leeds United,21,1999,2.7,0,2,1,50,0.74,0.37,0,0,22.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,2020/2021
Andrew Robertson,SCO,DF,Liverpool,26,1994,17,1,7,2,28.6,0.41,0.12,0.14,0.5,15,0,0,0,0.8,0.8,0.12,0.2,0.2,2020/2021
Antonee Robinson,USA,DF,Fulham,23,1997,12,0,3,2,66.7,0.25,0.17,0,0,14.4,0,0,0,0.3,0.3,0.09,-0.3,-0.3,2020/2021
Callum Robinson,IRL,FWMF,West Brom,25,1995,9.4,2,13,4,30.8,1.38,0.43,0.15,0.5,25.5,0,0,0,0.6,0.6,0.05,1.4,1.4,2020/2021
Hal Robson-Kanu,WAL,FWMF,West Brom,31,1989,1.6,0,4,2,50,2.54,1.27,0,0,24.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2020/2021
Rodri,ESP,MF,Manchester City,24,1996,14.1,0,16,4,25,1.13,0.28,0,0,21.8,0,0,0,0.6,0.6,0.04,-0.6,-0.6,2020/2021
Rodrigo,ESP,MF,Leeds United,29,1991,9.1,3,32,11,34.4,3.53,1.21,0.09,0.27,14.9,1,0,0,3.5,3.5,0.11,-0.5,-0.5,2020/2021
James Rodríguez,COL,FWMF,Everton,29,1991,9.6,3,22,11,50,2.28,1.14,0.14,0.27,20.1,2,0,0,2.2,2.2,0.1,0.8,0.8,2020/2021
Jay Rodriguez,ENG,FWMF,Burnley,31,1989,6.2,0,9,1,11.1,1.45,0.16,0,0,17.1,0,0,0,0.6,0.6,0.06,-0.6,-0.6,2020/2021
Oriol Romeu,ESP,MF,Southampton,29,1991,14.5,1,12,4,33.3,0.83,0.28,0.08,0.25,24.3,0,0,0,0.3,0.3,0.03,0.7,0.7,2020/2021
Antonio Rüdiger,GER,DF,Chelsea,27,1993,2,0,2,1,50,1,0.5,0,0,9.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2020/2021
Allan Saint-Maximin,FRA,FWMF,Newcastle Utd,23,1997,6.5,1,7,4,57.1,1.08,0.62,0.14,0.25,20.1,0,0,0,0.8,0.8,0.11,0.2,0.2,2020/2021
Romain Saïss,MAR,DF,Wolves,30,1990,11.7,3,15,7,46.7,1.28,0.6,0.2,0.43,12.3,1,0,0,1.3,1.3,0.09,1.7,1.7,2020/2021
Bukayo Saka,ENG,FWDF,Arsenal,19,2001,13.7,3,34,12,35.3,2.49,0.88,0.09,0.25,15.2,1,0,0,3.8,3.8,0.11,-0.8,-0.8,2020/2021
Mohamed Salah,EGY,FW,Liverpool,28,1992,15,13,48,21,43.8,3.2,1.4,0.17,0.38,16.9,1,5,5,9.4,5.6,0.12,3.6,2.4,2020/2021
Jeffrey Schlupp,GHA,MF,Crystal Palace,28,1992,10.8,2,13,6,46.2,1.2,0.55,0.15,0.33,12,0,0,0,1.3,1.3,0.1,0.7,0.7,2020/2021
Nélson Semedo,POR,DF,Wolves,27,1993,13.7,0,10,3,30,0.73,0.22,0,0,23.8,0,0,0,0.6,0.6,0.06,-0.6,-0.6,2020/2021
Luke Shaw,ENG,DF,Manchester Utd,25,1995,10.9,0,1,1,100,0.09,0.09,0,0,20,0,0,0,0,0,0.02,0,0,2020/2021
Jonjo Shelvey,ENG,MF,Newcastle Utd,28,1992,8.1,0,13,3,23.1,1.61,0.37,0,0,22.6,4,0,0,0.8,0.8,0.06,-0.8,-0.8,2020/2021
Gylfi Sigurðsson,ISL,MF,Everton,31,1989,9.2,2,14,3,21.4,1.53,0.33,0.07,0.33,20.9,2,1,1,2,1.2,0.09,0,-0.2,2020/2021
Bernardo Silva,POR,FWMF,Manchester City,26,1994,7.2,0,8,3,37.5,1.12,0.42,0,0,13.1,0,0,0,0.7,0.7,0.09,-0.7,-0.7,2020/2021
Fábio Silva,POR,FW,Wolves,18,2002,5.9,1,15,3,20,2.56,0.51,0,0,12.7,0,1,1,1.9,1.2,0.08,-0.9,-1.2,2020/2021
Thiago Silva,BRA,DF,Chelsea,36,1984,11.8,2,6,3,50,0.51,0.25,0.33,0.67,7.3,0,0,0,0.7,0.7,0.11,1.3,1.3,2020/2021
Tomáš Souček,CZE,MF,West Ham,25,1995,17,5,30,12,40,1.76,0.71,0.17,0.42,11.3,0,0,0,4.6,4.6,0.15,0.4,0.4,2020/2021
Jack Stephens,ENG,DF,Southampton,26,1994,6.5,0,2,1,50,0.31,0.15,0,0,7.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,2020/2021
Raheem Sterling,ENG,FW,Manchester City,26,1994,13.1,4,28,13,46.4,2.14,0.99,0.14,0.31,13.7,1,0,0,4,4,0.14,0,0,2020/2021
Enda Stevens,IRL,DF,Sheffield Utd,30,1990,14,0,8,2,25,0.57,0.14,0,0,20.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3,2020/2021
James Tarkowski,ENG,DF,Burnley,28,1992,13,0,9,3,33.3,0.69,0.23,0,0,9.8,0,0,0,0.6,0.6,0.06,-0.6,-0.6,2020/2021
Charlie Taylor,ENG,DF,Burnley,27,1993,14.1,0,2,1,50,0.14,0.07,0,0,20.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2020/2021
Alex Telles,BRA,DF,Manchester Utd,28,1992,4.8,0,3,1,33.3,0.63,0.21,0,0,19.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2020/2021
Youri Tielemans,BEL,MF,Leicester City,23,1997,16.4,4,21,8,38.1,1.28,0.49,0.1,0.25,23.7,2,2,2,3,1.5,0.07,1,0.5,2020/2021
Kieran Tierney,SCO,DF,Arsenal,23,1997,15.9,1,7,2,28.6,0.44,0.13,0.14,0.5,22.7,0,0,0,0.2,0.2,0.04,0.8,0.8,2020/2021
Ferrán Torres,ESP,FW,Manchester City,20,2000,6.3,2,17,7,41.2,2.69,1.11,0.12,0.29,15.5,0,0,0,2.4,2.4,0.14,-0.4,-0.4,2020/2021
Andros Townsend,ENG,MF,Crystal Palace,29,1991,12.4,1,15,6,40,1.21,0.49,0.07,0.17,22.1,0,0,0,0.7,0.7,0.05,0.3,0.3,2020/2021
Conor Townsend,ENG,DF,West Brom,27,1993,7.8,0,3,2,66.7,0.38,0.26,0,0,10.3,0,0,0,0.3,0.3,0.1,-0.3,-0.3,2020/2021
Adama Traoré,ESP,FWDF,Wolves,24,1996,11.5,0,10,3,30,0.87,0.26,0,0,20.5,0,0,0,0.5,0.5,0.05,-0.5,-0.5,2020/2021
Bertrand Traoré,BFA,FWMF,Aston Villa,25,1995,6.8,3,19,8,42.1,2.8,1.18,0.16,0.38,15.4,1,0,0,2,2,0.1,1,1,2020/2021
Trézéguet,EGY,FW,Aston Villa,26,1994,8,0,22,6,27.3,2.77,0.75,0,0,13.3,0,0,0,2.5,2.5,0.12,-2.5,-2.5,2020/2021
Leandro Trossard,BEL,FWMF,Brighton,26,1994,11.4,1,25,7,28,2.19,0.61,0.04,0.14,18.4,0,0,0,2.1,2.1,0.08,-1.1,-1.1,2020/2021
Cengiz Ünder,TUR,MFFW,Leicester City,23,1997,2.3,0,6,2,33.3,2.61,0.87,0,0,24.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,2020/2021
Jamie Vardy,ENG,FW,Leicester City,34,1987,14.5,11,31,13,41.9,2.14,0.9,0.16,0.38,13.7,0,6,7,11.2,5.9,0.19,-0.2,-0.9,2020/2021
Jannik Vestergaard,DEN,DF,Southampton,28,1992,12.5,3,9,5,55.6,0.72,0.4,0.33,0.6,11.8,0,0,0,0.6,0.6,0.06,2.4,2.4,2020/2021
Carlos Vinícius,BRA,FW,Tottenham,25,1995,0.2,0,2,1,50,11.25,5.63,0,0,15.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,2020/2021
Vitinha,POR,MF,Wolves,20,2000,1.9,0,2,1,50,1.03,0.51,0,0,16.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,2020/2021
Matěj Vydra,CZE,FW,Burnley,28,1992,1.9,0,5,1,20,2.57,0.51,0,0,18,0,0,0,0.4,0.4,0.09,-0.4,-0.4,2020/2021
Theo Walcott,ENG,MFFW,Southampton,31,1989,11.2,2,21,8,38.1,1.88,0.71,0.1,0.25,20.4,0,0,0,2.1,2.1,0.1,-0.1,-0.1,2020/2021
Kyle Walker,ENG,DF,Manchester City,30,1990,11,1,8,3,37.5,0.73,0.27,0.13,0.33,28.7,0,0,0,0.2,0.2,0.03,0.8,0.8,2020/2021
Kyle Walker-Peters,ENG,DF,Southampton,23,1997,17,0,8,3,37.5,0.47,0.18,0,0,20.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,2020/2021
Aaron Wan-Bissaka,ENG,DF,Manchester Utd,23,1997,14,1,3,2,66.7,0.21,0.14,0.33,0.5,17.2,0,0,0,0.3,0.3,0.1,0.7,0.7,2020/2021
James Ward-Prowse,ENG,MF,Southampton,26,1994,17,4,16,8,50,0.94,0.47,0.25,0.5,23.2,9,0,0,0.9,0.9,0.06,3.1,3.1,2020/2021
Ollie Watkins,ENG,FW,Aston Villa,25,1995,15,6,43,16,37.2,2.87,1.07,0.12,0.31,11.8,0,1,2,8.9,7.5,0.17,-2.9,-2.5,2020/2021
Adam Webster,ENG,DF,Brighton,26,1995,16,0,16,4,25,1,0.25,0,0,13.9,0,0,0,0.8,0.8,0.05,-0.8,-0.8,2020/2021
Danny Welbeck,ENG,FW,Brighton,30,1990,6.9,2,14,6,42.9,2.03,0.87,0.14,0.33,12.6,0,0,0,2.5,2.5,0.18,-0.5,-0.5,2020/2021
Timo Werner,GER,FW,Chelsea,24,1996,15.1,4,40,16,40,2.65,1.06,0.1,0.25,13.6,0,0,0,6.6,6.6,0.16,-2.6,-2.6,2020/2021
Ashley Westwood,ENG,MF,Burnley,30,1990,15,1,6,3,50,0.4,0.2,0.17,0.33,20.6,0,0,0,0.3,0.3,0.04,0.7,0.7,2020/2021
Georginio Wijnaldum,NED,MF,Liverpool,30,1990,15,1,14,4,28.6,0.93,0.27,0.07,0.25,15.2,1,0,0,2,2,0.14,-1,-1,2020/2021
Willian,BRA,FWMF,Arsenal,32,1988,10,0,11,2,18.2,1.1,0.2,0,0,16.4,2,0,0,1.2,1.2,0.11,-1.2,-1.2,2020/2021
Callum Wilson,ENG,FW,Newcastle Utd,28,1992,13.7,8,21,7,33.3,1.53,0.51,0.19,0.57,12.6,0,4,4,7.3,4.3,0.2,0.7,-0.3,2020/2021
Chris Wood,NZL,FW,Burnley,29,1991,14.3,3,27,16,59.3,1.89,1.12,0.11,0.19,10.1,0,0,0,5.9,5.9,0.22,-2.9,-2.9,2020/2021
Granit Xhaka,SUI,MF,Arsenal,28,1992,11.1,1,10,2,20,0.9,0.18,0.1,0.5,23.5,5,0,0,0.6,0.6,0.06,0.4,0.4,2020/2021
Andriy Yarmolenko,UKR,FWMF,West Ham,31,1989,2.7,0,4,1,25,1.46,0.36,0,0,22.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,2020/2021
Wilfried Zaha,CIV,FW,Crystal Palace,28,1992,14.9,8,34,11,32.4,2.28,0.74,0.18,0.55,15.3,0,2,2,5.4,3.8,0.11,2.6,2.2,2020/2021
Andre-Frank Zambo Anguissa,CMR,MF,Fulham,25,1995,13.3,0,15,1,6.7,1.13,0.08,0,0,21.2,0,0,0,1,1,0.06,-1,-1,2020/2021
Oleksandr Zinchenko,UKR,DF,Manchester City,24,1996,1.1,0,1,1,100,0.87,0.87,0,0,20,0,0,0,0.2,0.2,0.16,-0.2,-0.2,2020/2021
Hakim Ziyech,MAR,FW,Chelsea,27,1993,5,1,10,3,30,2,0.6,0.1,0.33,22,0,0,0,0.5,0.5,0.05,0.5,0.5,2020/2021
Kurt Zouma,FRA,DF,Chelsea,26,1994,15,4,14,7,50,0.93,0.47,0.29,0.57,10.9,0,0,0,0.9,0.9,0.07,3.1,3.1,2020/2021
